UserId,isInsider
AAE0190,0
AAF0535,1
AAF0791,0
AAL0706,0
AAM0658,1
AAN0823,0
AAS0442,0
AAV0450,0
AAW0353,0
ABC0174,1
ABC0253,0
ABH0663,0
ABM0845,0
ABN0239,0
ACC0042,0
ACV0812,0
ADC0391,0
ADD0846,0
ADF0397,0
AES0827,0
AGB0186,0
AGB0643,0
AHC0142,0
AHD0848,0
AHG0634,0
AHM0410,0
AIB0948,0
AIH0675,0
AIM0627,0
AIP0394,0
AIP0982,0
AIS0405,0
AJC0840,0
AJD0074,0
AJF0370,0
AJH0175,0
AJL0462,0
AJN0607,0
AJP0723,0
AJR0319,0
AJR0932,1
AKC0924,0
AKF0709,0
AKH0758,0
AKK0329,0
AKR0057,1
AKW0167,0
ALB0892,0
ALC0788,0
ALD0529,0
ALD0544,0
ALH0402,0
AMD0077,0
AMH0464,0
AMH0794,0
AMJ0297,0
AMM0014,0
AMR0318,0
AMR0400,0
AMV0036,0
AMW0392,0
ANM0123,0
ANP0555,0
ANT0430,0
AOB0019,0
AOK0844,0
AOS0987,0
APG0307,0
AQD0820,0
ARA0252,0
ARB0834,0
ARB0881,0
ARD0509,0
ARL0034,0
ASB0796,0
ASD0577,0
ASG0048,0
ASG0692,0
ASL0378,0
ASM0575,0
ASS0206,0
ASS0517,0
ASV0946,0
ATE0869,0
ATF0274,0
ATP0662,0
AVM0947,0
AWM0764,0
BAH0875,0
BAJ0654,0
BAK0964,0
BAL0044,0
BAM0611,0
BAM0636,0
BBG0325,0
BBH0810,0
BBS0039,1
BBS0422,0
BCB0679,0
BCM0653,0
BCR0581,0
BDB0453,0
BDI0533,0
BDV0168,1
BEC0505,0
BEH0615,0
BER0314,0
BHC0665,0
BHW0458,0
BIH0745,1
BIS0247,0
BJH0354,0
BJH0811,0
BJM0111,0
BJP0134,0
BJW0619,0
BKW0374,0
BLB0114,0
BLL0929,0
BLS0678,1
BMC0547,0
BMG0917,0
BMM0112,0
BMS0877,0
BMT0528,0
BNG0237,0
BNR0965,0
BQS0525,0
BRB0355,0
BRM0995,0
BRS0734,0
BSA0431,0
BSB0990,0
BSH0445,0
BSS0369,1
BSS0463,0
BTL0226,1
BTL0722,0
BTN0061,0
BTR0403,0
BTS0011,0
BTW0005,0
BVC0790,0
BVN0514,0
BWH0813,0
BWP0202,0
BXJ0010,0
BYP0070,0
CAA0612,0
CAB0388,0
CAB0614,0
CAC0889,0
CAH0936,1
CAM0102,0
CAM0681,0
CAN0842,0
CAS0507,0
CBB0365,0
CBG0398,0
CBG0490,0
CCA0046,1
CCC0393,0
CCH0182,0
CCH0685,0
CCL0068,1
CCM0136,0
CCM0467,0
CCM0855,0
CCR0863,0
CCW0031,0
CCW0524,0
CEB0210,0
CEJ0109,1
CEL0561,0
CFG0959,0
CFM0767,0
CFW0264,0
CGA0629,0
CGB0637,0
CGF0337,0
CHG0146,0
CHM0821,0
CIG0052,0
CIM0271,0
CIM0926,0
CJC0494,0
CJF0802,0
CJG0470,0
CJH0702,0
CJK0200,0
CJM0138,0
CJM0521,0
CJP0952,0
CJV0286,0
CKB0427,0
CKB0482,0
CKD0680,0
CKH0144,0
CKP0721,0
CLB0774,0
CLD0894,0
CLF0852,0
CLH0703,0
CLS0296,0
CMB0912,0
CMM0487,0
CMS0454,0
CMW0783,0
CNB0900,0
CNE0352,0
CNM0800,0
COF0120,0
COM0321,0
CPG0322,0
CQH0701,0
CQH0730,0
CQW0652,1
CRD0624,0
CRK0916,0
CRO0027,0
CRP0456,0
CSB0080,0
CSC0217,1
CSH0626,0
CSJ0340,0
CSL0949,0
CSP0197,0
CTA0020,0
CTR0341,0
CTR0697,0
CTW0500,0
CUD0795,0
CWB0065,0
CWR0502,0
CXC0336,0
CYA0506,0
DAG0558,0
DAL0673,0
DAR0885,0
DBB0384,0
DBG0261,0
DBS0235,0
DBW0483,0
DCC0160,0
DCH0843,1
DDA0476,0
DDM0579,0
DEB0782,0
DFH0188,0
DFR0218,0
DGF0443,0
DGM0754,0
DGN0480,0
DGW0752,0
DHM0937,0
DIB0081,0
DIB0285,1
DIC0988,0
DID0650,0
DIW0118,0
DJB0159,0
DJS0682,0
DKB0631,0
DLF0377,0
DLH0029,0
DLM0051,0
DLS0383,0
DMG0358,0
DMK0257,0
DMM0623,0
DOL0332,0
DOP0562,0
DPM0423,0
DPS0262,0
DRR0162,1
DRR0242,0
DSB0731,0
DSM0591,0
DTP0379,0
DTT0076,0
DVM0265,0
DVW0103,0
DZC0228,0
EAH0466,0
EBC0390,0
ECF0828,0
ECL0930,0
ECR0822,0
EDA0684,0
EDB0714,1
EFS0882,0
EGD0132,1
EGD0409,0
